"species","genus","family"
"abies alba","abies","Pinaceae"
"abies balsamea","abies","Pinaceae"
"acacia mangium","acacia","Fabaceae"
"acer campestre","acer","Sapindaceae"
"acer negundo","acer","Sapindaceae"
"acer pensylvanicum","acer","Sapindaceae"
"acer pictum","acer","Sapindaceae"
"acer platanoides","acer","Sapindaceae"
"acer pseudoplatanus","acer","Sapindaceae"
"acer rubrum","acer","Sapindaceae"
"acer saccharum","acer","Sapindaceae"
"ailanthus altissima","ailanthus","Simaroubaceae"
"albizia kalkora","albizia","Fabaceae"
"albizia saman","albizia","Fabaceae"
"alchorneopsis floribunda","alchorneopsis","Euphorbiaceae"
"alnus alnobetula","alnus","Betulaceae"
"alnus glutinosa","alnus","Betulaceae"
"alnus incana","alnus","Betulaceae"
"amelanchier arborea","amelanchier","Rosaceae"
"apeiba glabra","apeiba","Sparrmanniaceae"
"apodytes dimidiata","apodytes","Metteniusaceae"
"arbutus unedo","arbutus","Ericaceae"
"aspidosperma album","aspidosperma","Apocynaceae"
"astronium graveolens","astronium","Anacardiaceae"
"attalea butyracea","attalea","Arecaceae"
"attalea speciosa","attalea","Arecaceae"
"betula alleghaniensis","betula","Betulaceae"
"betula papyrifera","betula","Betulaceae"
"betula pendula","betula","Betulaceae"
"betula platyphylla","betula","Betulaceae"
"betula pubescens","betula","Betulaceae"
"brosimum alicastrum","brosimum","Moraceae"
"brosimum guianense","brosimum","Moraceae"
"brosimum lactescens","brosimum","Moraceae"
"bursera simaruba","bursera","Burseraceae"
"byrsonima crassifolia","byrsonima","Malpighiaceae"
"carpinus betulus","carpinus","Betulaceae"
"carpinus caroliniana","carpinus","Betulaceae"
"carpodetus serratus","carpodetus","Rousseaceae"
"carya alba","carya","Juglandaceae"
"carya glabra","carya","Juglandaceae"
"carya ovata","carya","Juglandaceae"
"casearia arborea","casearia","Samydaceae"
"casearia sylvestris","casearia","Samydaceae"
"cecropia obtusifolia","cecropia","Urticaceae"
"cedrela odorata","cedrela","Meliaceae"
"ceiba pentandra","ceiba","Bombacaceae"
"chaetachme aristata","chaetachme","Cannabaceae"
"chionanthus virginicus","chionanthus","Oleaceae"
"chrysophyllum sp","chrysophyllum","Sapotaceae"
"cinnamomum camphora","cinnamomum","Lauraceae"
"cordia alliodora","cordia","Cordiaceae"
"cornus florida","cornus","Cornaceae"
"cotinus coggygria","cotinus","Anacardiaceae"
"dendropanax arboreus","dendropanax","Araliaceae"
"dialium guianense","dialium","Fabaceae"
"dichrostachys cinerea","dichrostachys","Fabaceae"
"diospyros virginiana","diospyros","Ebenaceae"
"enterolobium cyclocarpum","enterolobium","Fabaceae"
"eschweilera coriacea","eschweilera","Lecythidaceae"
"eschweilera sp","eschweilera","Lecythidaceae"
"euclea racemosa","euclea","Ebenaceae"
"euonymus alatus","euonymus","Celastraceae"
"exocarpos cupressiformis","exocarpos","Santalaceae"
"fagus crenata","fagus","Fagaceae"
"fagus grandifolia","fagus","Fagaceae"
"fagus sylvatica","fagus","Fagaceae"
"faramea occidentalis","faramea","Rubiaceae"
"ficus insipida","ficus","Moraceae"
"ficus pertusa","ficus","Moraceae"
"ficus sp","ficus","Moraceae"
"fraxinus americana","fraxinus","Oleaceae"
"fraxinus excelsior","fraxinus","Oleaceae"
"fraxinus mandshurica","fraxinus","Oleaceae"
"fraxinus nigra","fraxinus","Oleaceae"
"fraxinus pennsylvanica","fraxinus","Oleaceae"
"garcinia madruno","garcinia","Clusiaceae"
"genipa americana","genipa","Rubiaceae"
"geonoma baculifera","geonoma","Arecaceae"
"geonoma brongniartii","geonoma","Arecaceae"
"geonoma cuneata","geonoma","Arecaceae"
"geonoma deversa","geonoma","Arecaceae"
"geonoma euspatha","geonoma","Arecaceae"
"geonoma ferruginea","geonoma","Arecaceae"
"geonoma interrupta","geonoma","Arecaceae"
"geonoma lehmannii","geonoma","Arecaceae"
"geonoma leptospadix","geonoma","Arecaceae"
"geonoma macrostachys","geonoma","Arecaceae"
"geonoma maxima","geonoma","Arecaceae"
"geonoma oligoclona","geonoma","Arecaceae"
"geonoma orbignyana","geonoma","Arecaceae"
"geonoma pinnatifrons","geonoma","Arecaceae"
"geonoma poeppigiana","geonoma","Arecaceae"
"geonoma pohliana","geonoma","Arecaceae"
"geonoma schottiana","geonoma","Arecaceae"
"geonoma stricta","geonoma","Arecaceae"
"geonoma undata","geonoma","Arecaceae"
"ginkgo biloba","ginkgo","Ginkgoaceae"
"goupia glabra","goupia","Goupiaceae"
"guarea glabra","guarea","Meliaceae"
"guarea grandifolia","guarea","Meliaceae"
"guarea guidonia","guarea","Meliaceae"
"guatteria sp","guatteria","Annonaceae"
"guazuma ulmifolia","guazuma","Byttneriaceae"
"gymnosporia senegalensis","gymnosporia","Celastraceae"
"hamamelis virginiana","hamamelis","Hamamelidaceae"
"handroanthus impetiginosus","handroanthus","Bignoniaceae"
"hura crepitans","hura","Euphorbiaceae"
"hyeronima alchorneoides","hyeronima","Dilleniaceae"
"hymenaea courbaril","hymenaea","Fabaceae"
"hymenopus heteromorphus","hymenopus","Chrysobalanaceae"
"hyospathe elegans","hyospathe","Arecaceae"
"ilex aquifolium","ilex","Aquifoliaceae"
"ilex opaca","ilex","Aquifoliaceae"
"inga alba","inga","Fabaceae"
"inga sp","inga","Fabaceae"
"inga spectabilis","inga","Fabaceae"
"jacaranda copaia","jacaranda","Bignoniaceae"
"juglans nigra","juglans","Juglandaceae"
"juniperus communis","juniperus","Cupressaceae"
"krascheninnikovia ceratoides","krascheninnikovia","Caryophyllaceae"
"lacistema aggregatum","lacistema","Lacistemataceae"
"laetia procera","laetia","Samydaceae"
"larix gmelinii","larix","Pinaceae"
"larix laricina","larix","Pinaceae"
"leopoldinia pulchra","leopoldinia","Arecaceae"
"lespedeza davurica","lespedeza","Fabaceae"
"lindera benzoin","lindera","Lauraceae"
"liquidambar styraciflua","liquidambar","Altingiaceae"
"liriodendron tulipifera","liriodendron","Magnoliaceae"
"lophozonia menziesii","lophozonia","Nothofagaceae"
"magnolia grandiflora","magnolia","Magnoliaceae"
"magnolia obovata","magnolia","Magnoliaceae"
"magnolia virginiana","magnolia","Magnoliaceae"
"mangifera indica","mangifera","Anacardiaceae"
"manilkara bidentata","manilkara","Sapotaceae"
"maquira guianensis","maquira","Moraceae"
"miconia punctata","miconia","Melastomataceae"
"miconia sp","miconia","Melastomataceae"
"micropholis guyanensis","micropholis","Sapotaceae"
"minquartia guianensis","minquartia","Coulaceae"
"myrcia splendens","myrcia","Myrtaceae"
"myrsine coriacea","myrsine","Myrsinaceae"
"nyssa sylvatica","nyssa","Nyssaceae"
"ochroma pyramidale","ochroma","Bombacaceae"
"ocotea cernua","ocotea","Lauraceae"
"ocotea sp","ocotea","Lauraceae"
"olea europaea","olea","Oleaceae"
"ostrya virginiana","ostrya","Betulaceae"
"pholidostachys synanthera","pholidostachys","Arecaceae"
"picea abies","picea","Pinaceae"
"picea glauca","picea","Pinaceae"
"picea mariana","picea","Pinaceae"
"pinus banksiana","pinus","Pinaceae"
