"ECO_ID","species","genus","family","LSLA","LNC.m","LL","SSD","SCdia","SBthick","RNC","RSRL","RTD","Max.H","RD","SD","LA","SdM"
60168,"abacaba palm","abacaba","Fabaceae",1.1107,1.3236,1.0368,-0.2643,1.8863,0.4026,1.57071568934617,3.2618,-0.544,1.2534,0.2393,-0.6342,3.8799,1.8357
60128,"abarema adenophora","abarema","Fabaceae",1.0586,1.342,1.1007,-0.2589,1.9641,0.3771,1.58237135264187,3.0928,-0.6047,1.5465,NA,-0.4991,4.2333,0.9091
60129,"abarema adenophora","abarema","Fabaceae",1.0813,1.3532,1.1029,-0.2653,1.9796,0.3636,1.57024163114627,3.1937,-0.6036,1.4986,NA,-0.5896,4.233,1.2619
60160,"abarema brachystachya","abarema","Fabaceae",1.0391,1.2532,1.1302,-0.2377,1.6597,0.3519,1.57431722886027,3.1894,-0.441,0.88,0.1705,-0.8874,3.16,1.9025
60125,"abarema jupunba","abarema","Fabaceae",0.9011,1.1507,1.3743,-0.196,1.5007,0.5383,1.54376889857501,3.0132,-0.3953,0.9834,0.4669,-0.4876,2.6638,2.0969
60142,"abarema jupunba","abarema","Fabaceae",1.0212,1.2603,1.1022,-0.2333,1.3944,0.2166,1.50939744050251,3.4928,-0.3445,NA,-0.4061,-1.9071,2.3717,2.3008
60168,"abarema jupunba","abarema","Fabaceae",1.1374,1.3618,0.9774,-0.2733,1.7159,0.3365,1.53085640813102,3.6738,-0.4779,0.5031,-0.1961,-1.5481,3.3776,2.6363
60173,"abarema jupunba","abarema","Fabaceae",1.0598,1.2932,1.1029,-0.2478,1.6264,0.3673,1.53449189733519,3.4621,-0.4432,0.5886,NA,-1.3001,3.076,2.4224
60142,"abarema laeta","abarema","Fabaceae",1.1502,1.3721,0.976,-0.2782,1.8069,0.3386,1.55034822625428,3.5586,-0.5166,0.7387,-0.1229,-1.3321,3.6529,2.3613
60129,"abarema macradenia","abarema","Fabaceae",1.0586,1.2892,1.2348,-0.251,1.9649,0.6346,1.58121782621311,3.1386,-0.5912,1.7036,0.682,NA,4.0645,2.304
60125,"abarema mataybifolia","abarema","Fabaceae",1.0575,1.2807,1.2291,-0.2476,1.7732,0.6277,1.53811230220225,3.404,-0.5132,1.1109,0.5014,-0.5832,3.4553,3.1139
60168,"abarema mataybifolia","abarema","Fabaceae",1.1888,1.3985,1.0376,-0.292,1.9924,0.5654,1.54151933712782,3.6574,-0.604,1.1493,0.2923,-0.8348,4.1387,3.2762
60107,"abarema microcalyx","abarema","Fabaceae",1.0212,1.26,1.1314,-0.2355,1.6179,0.307,1.55205344305847,3.2167,-0.4377,0.7575,NA,-1.0886,3.0722,1.6803
60167,"abatia parviflora","abatia","Salicaceae",1.1958,1.3362,0.8056,-0.2974,1.4374,0.239,1.17543642860671,3.437,-0.4587,0.5727,-0.4419,-1.4087,3.1975,NA
80401,"abies alba","abies","Pinaceae",0.9095,1.1416,1.37,-0.2132,1.2366,0.7649,1.12705618058967,3.2289,-0.3855,0.9819,0.3367,-0.4957,2.5127,1.8699
80402,"abies alba","abies","Pinaceae",0.9969,1.2131,1.2655,-0.2418,1.4043,0.8056,1.13675543611644,3.4375,-0.4481,1.1207,0.394,-0.4726,3.0333,2.2643
80412,"abies alba","abies","Pinaceae",0.9555,1.1795,1.4494,-0.2308,1.3632,0.9747,0.934412593848169,3.4657,-0.4582,1.1392,0.5904,-0.3248,2.7928,3.1724
80418,"abies alba","abies","Pinaceae",0.9411,1.1685,1.3351,-0.224,1.3385,0.8159,1.15033882535942,3.2794,-0.4279,1.1749,0.4462,-0.3192,2.8447,1.9498
80433,"abies alba","abies","Pinaceae",0.9315,1.1613,1.3403,-0.2214,1.3708,0.8086,1.17438547916944,3.1972,-0.4376,1.3303,0.5095,-0.1497,2.9595,1.6696
80445,"abies alba","abies","Pinaceae",0.8281,1.0699,1.461,-0.1858,1.1086,0.7675,1.14202009619968,3.0436,-0.329,0.9862,0.4292,-0.3323,2.1441,1.5224
80501,"abies alba","abies","Pinaceae",1.0012,1.2215,1.247,-0.2446,1.4782,0.8005,1.18371387850486,3.3321,-0.4834,1.329,0.4227,-0.282,3.2853,1.8734
80504,"abies alba","abies","Pinaceae",0.9091,1.1406,1.3839,-0.2135,1.2734,0.7992,1.14193866735428,3.1977,-0.4017,1.1037,0.4186,-0.3483,2.6201,1.8704
81209,"abies alba","abies","Pinaceae",0.8953,1.1289,1.3944,-0.2089,1.2595,0.7937,1.1464722327288,3.1648,-0.3955,1.1401,0.4501,-0.2879,2.5931,1.7261
81211,"abies alba","abies","Pinaceae",0.8962,1.129,1.3882,-0.2088,1.241,0.8023,1.14155010421772,3.1795,-0.3869,1.0741,0.43,-0.3456,2.5385,1.8213
81215,"abies alba","abies","Pinaceae",0.8634,1.1127,1.3958,-0.1996,1.1847,0.7371,1.1376990042596,3.0982,-0.3655,1.0096,0.2953,-0.4292,2.4047,1.3671
50508,"abies amabilis","abies","Pinaceae",1.0053,1.2108,1.1564,-0.2401,1.277,0.5933,1.21200372303214,3.387,-0.3914,0.7052,NA,-0.9737,2.6724,1.5756
50510,"abies amabilis","abies","Pinaceae",0.9703,1.18,1.2115,-0.2286,1.241,0.6296,1.21620550180111,3.3218,-0.3773,0.775,0.1222,-0.816,2.5666,1.5301
50406,"abies balsamea","abies","Pinaceae",0.9474,1.156,1.1994,-0.22,1.1788,0.5139,1.22032256608006,3.2177,-0.3359,0.6716,NA,-0.9258,2.3722,1.1118
50407,"abies balsamea","abies","Pinaceae",0.884,1.1026,1.3128,-0.1997,1.1478,0.6195,1.23588179862964,3.0675,-0.3271,0.895,0.2771,-0.524,2.2826,1.0388
50410,"abies balsamea","abies","Pinaceae",0.9653,1.1652,1.243,-0.2263,1.2743,0.6652,1.17602176637901,3.2777,-0.3799,0.9133,0.2889,-0.6088,2.6226,1.7006
50416,"abies balsamea","abies","Pinaceae",0.953,1.1579,1.2703,-0.2226,1.2911,0.7339,1.23579348764811,3.2316,-0.3918,1.0268,0.4011,-0.4316,2.6845,1.6973
50602,"abies balsamea","abies","Pinaceae",0.9483,1.1556,1.2165,-0.2201,1.1823,0.5834,1.221205517674,3.2538,-0.342,0.6973,0.0999,-0.8554,2.3825,1.35
50605,"abies balsamea","abies","Pinaceae",0.9142,1.1252,1.2759,-0.209,1.1673,0.6148,1.23274460393321,3.1556,-0.3361,0.8267,0.2324,-0.64,2.3347,1.2431
50802,"abies balsamea","abies","Pinaceae",0.9505,1.1587,1.1739,-0.2196,1.0625,0.4606,1.18155777386279,3.3449,-0.2907,0.2838,-0.2054,-1.3593,2.021,1.3388
80412,"abies cephalonica","abies","Pinaceae",0.8787,1.1004,1.3511,-0.1985,1.1509,0.6838,1.23368129772635,3.0731,-0.3371,0.9364,0.3429,-0.4513,2.2812,1.2418
50503,"abies concolor","abies","Pinaceae",0.9626,1.1576,1.2531,-0.2245,1.3464,0.7593,1.27844491361641,3.2062,-0.4122,1.2349,0.5497,-0.1889,2.885,1.5149
51310,"abies concolor","abies","Pinaceae",0.8585,1.0701,1.3446,-0.1876,0.9218,0.5896,1.19422008749061,3.2055,-0.2367,0.3397,0.0917,-1.0344,1.5653,1.5494
80518,"abies fargesii","abies","Pinaceae",0.9002,1.1182,1.3167,-0.2061,1.2256,0.6805,1.25548959807554,3.0568,-0.369,1.0726,0.3487,-0.349,2.5224,1.1036
80440,"abies firma","abies","Pinaceae",0.9263,1.1437,1.2396,-0.2141,1.1733,0.552,1.23206811679543,3.1762,-0.3415,0.7657,0.0795,-0.798,2.3784,1.0344
80441,"abies firma","abies","Pinaceae",0.9579,1.1715,1.2041,-0.2249,1.2362,0.5601,1.23823183099134,3.2316,-0.3686,0.8109,0.0699,-0.8064,2.5684,1.1317
50413,"abies fraseri","abies","Pinaceae",0.8265,1.054,1.4373,-0.1818,1.1195,0.7117,1.24468524003233,2.9241,-0.3264,1.1038,0.5023,NA,2.1825,1.0227
50512,"abies grandis","abies","Pinaceae",0.9136,1.1326,1.2434,-0.2105,1.2334,0.5851,1.26226119270864,3.0453,-0.3652,1.0415,0.2393,-0.4656,2.5906,0.6886
50518,"abies grandis","abies","Pinaceae",0.9212,1.1405,1.2055,-0.2134,1.2763,0.5406,1.28818213061366,2.9753,-0.3783,1.1375,0.2091,-0.4069,2.7434,0.3185
80412,"abies grandis","abies","Pinaceae",0.8994,1.1208,1.2525,-0.2053,1.1594,0.556,1.24685542224939,3.0652,-0.3342,0.8649,0.1472,-0.6393,2.3618,0.7251
50503,"abies lasiocarpa","abies","Pinaceae",0.9487,1.1792,1.2853,-0.2261,1.3557,0.7323,1.26402876774276,3.2339,-0.4312,1.1897,0.3283,-0.3641,2.9392,1.4069
50511,"abies lasiocarpa","abies","Pinaceae",0.8134,1.0576,1.4852,-0.18,1.0662,0.7656,1.22940536184876,3.0148,-0.3119,0.9082,0.3969,-0.3778,2.0071,1.4731
50514,"abies lasiocarpa","abies","Pinaceae",0.9502,1.1786,1.2561,-0.2248,1.1804,0.5996,1.20042365149999,3.373,-0.357,0.5897,-0.0536,-1.0622,2.3729,1.6686
50518,"abies lasiocarpa","abies","Pinaceae",0.8993,1.1336,1.3186,-0.2084,1.1981,0.642,1.24808857218713,3.1458,-0.3612,0.9226,0.1854,-0.5946,2.4546,1.174
50530,"abies lasiocarpa","abies","Pinaceae",0.888,1.1212,1.4248,-0.2062,1.3471,0.8649,1.27764358981552,3.0571,-0.4287,1.4857,0.6836,0.1386,2.8801,1.5026
80414,"abies nephrolepis","abies","Pinaceae",0.9559,1.1661,1.2264,-0.2238,1.3048,0.6503,1.29721976786146,3.1451,-0.3951,1.0848,0.2867,-0.4464,2.7914,1.0423
80426,"abies nephrolepis","abies","Pinaceae",0.9756,1.183,1.2017,-0.2308,1.3224,0.627,1.26485558610524,3.1827,-0.4034,1.0378,0.2166,-0.5506,2.8375,1.0928
80445,"abies nordmanniana","abies","Pinaceae",0.9448,1.1574,1.286,-0.2218,1.3729,0.7882,1.26669256646889,3.1146,-0.4319,1.3229,0.523,NA,2.9596,1.4047
80445,"abies pinsapo","abies","Pinaceae",0.8897,1.1081,1.391,-0.2039,1.3483,0.8501,1.27985622234425,3.0001,-0.422,1.5717,0.7999,0.28,2.9038,1.2734
81209,"abies pinsapo","abies","Pinaceae",0.898,1.1178,1.2983,-0.2044,1.1381,0.6477,1.21643510781238,3.1925,-0.329,0.8333,0.2728,-0.6177,2.2839,1.2784
80412,"abies procera","abies","Pinaceae",0.8682,1.0918,1.3397,-0.1945,1.0879,0.6303,1.21942995483574,3.0874,-0.3096,0.7872,0.2367,-0.6204,2.1065,1.1383
80423,"abies sachalinensis","abies","Pinaceae",0.9725,1.1816,1.2098,-0.2297,1.2918,0.6329,1.23173966614988,3.2794,-0.3925,0.9266,0.2045,-0.6662,2.7247,1.4273
80510,"abies sachalinensis","abies","Pinaceae",0.971,1.1807,1.2324,-0.2296,1.3146,0.6658,1.2305230005892,3.2905,-0.402,1.0055,0.28,-0.5684,2.7848,1.5404
10402,"abrophyllum ornans","abrophyllum","Rousseaceae",1.1972,0.9566,0.1767,-0.3935,1.4969,1.6678,1.18715395378542,4.3341,-0.8044,0.1534,1.1949,-0.9957,3.7576,13.2958
60129,"abrus precatorius","abrus","Fabaceae",1.2576,1.4539,0.7697,-0.3114,1.9633,0.2576,1.55193282110087,3.739,-0.5713,0.7861,-0.2495,-1.4675,4.1703,2.2256
60135,"abuta grandifolia","abuta","Menispermaceae",1.1352,1.3708,1.1894,-0.3156,1.9183,0.4007,2.03619158660811,3.6646,-0.7842,0.7444,0.5411,-1.3767,3.9675,2.087
60142,"abuta grandifolia","abuta","Menispermaceae",1.1168,1.3543,1.2318,-0.31,1.9333,0.4396,2.03820832073221,3.5928,-0.7921,0.8832,0.657,-1.1783,4.0035,2.0485
60166,"abuta grandifolia","abuta","Menispermaceae",1.1413,1.3765,1.1818,-0.3177,1.9129,0.3767,2.03577543506116,3.6899,-0.7824,0.6802,0.4755,-1.4701,3.9369,2.1229
60129,"abuta panamensis","abuta","Menispermaceae",1.1703,1.4003,1.1512,-0.3274,2.0443,0.4819,2.04040729889291,3.6953,-0.8353,1.0138,0.7116,-1.1069,4.3818,2.1457
60129,"abuta racemosa","abuta","Menispermaceae",0.9821,1.2323,1.496,-0.2659,1.8531,0.6911,2.04131174091656,3.2318,-0.7561,1.291,1.2535,-0.346,3.7086,2.2034
60168,"abuta rufescens","abuta","Menispermaceae",1.0173,1.2786,1.414,-0.281,2.0114,0.6866,2.04565971986829,3.1897,-0.836,1.5946,1.2242,-0.1464,4.2587,1.6602
60125,"abuta sp","abuta","Menispermaceae",0.9598,1.233,1.4142,-0.2601,1.7305,0.4577,2.04116521321348,3.1866,-0.7125,0.9661,0.768,-0.8343,3.4317,1.1721
10803,"abutilon fraseri","abutilon","Malvaceae",1.1108,1.2521,0.981,-0.2867,1.3875,0.2022,1.43205165626345,3.2662,-0.5703,0.3161,-0.2587,-1.3896,2.73,0.1289
11302,"abutilon fraseri","abutilon","Malvaceae",1.141,1.2791,0.9146,-0.2961,1.3832,0.1421,1.42519010471489,3.3662,-0.5648,0.1584,-0.4131,-1.6435,2.7365,0.1409
40203,"abutilon indicum","abutilon","Malvaceae",1.2813,1.4025,0.6696,-0.3416,1.5239,NA,1.41633423007587,3.7338,-0.6202,NA,-0.7287,-2.1577,3.2293,0.3856
10802,"acacia aneura","acacia","Fabaceae",0.8533,1.1208,1.3167,-0.1879,1.3765,0.3683,1.02929041463103,2.9769,-0.3484,0.6928,0.2264,-0.8576,2.3042,1.781
10803,"acacia aneura","acacia","Fabaceae",0.8512,1.1177,1.3203,-0.1868,1.4615,0.4064,1.20373437516459,2.8441,-0.3823,1.0173,0.4038,-0.4773,2.597,1.3628
11201,"acacia aneura","acacia","Fabaceae",0.9081,1.169,1.2153,-0.2048,1.4403,0.3091,1.16817915926485,3.0656,-0.3721,0.6499,NA,-1.0253,2.5362,1.6146
11302,"acacia aneura","acacia","Fabaceae",1.0038,1.2552,1.0096,-0.2363,1.5559,0.1997,1.16904810493343,3.2594,-0.4115,0.5608,-0.1676,-1.3552,2.9603,1.3941
11309,"acacia aneura","acacia","Fabaceae",0.8373,1.1058,1.3348,-0.1817,1.3865,0.3773,1.18317300657673,2.8681,-0.3508,0.8338,0.3142,-0.6612,2.3572,1.4508
11302,"acacia aptaneura","acacia","Fabaceae",1.053,1.2776,1.1638,-0.2487,1.7544,0.5277,1.44584229948519,3.4004,-0.5004,1.1078,0.5149,-0.6176,3.4845,2.5173
10701,"acacia auriculiformis","acacia","Fabaceae",0.7667,1.0435,1.3225,-0.1507,0.8344,-0.1391,1.41044653772385,2.9319,-0.1175,-0.4988,-0.6712,-2.2022,0.7518,NA
40146,"acacia auriculiformis","acacia","Fabaceae",0.9158,1.1747,1.1885,-0.2017,1.147,NA,1.39619411460058,3.3232,-0.2546,-0.2336,-0.5317,-2.1165,1.6867,1.3541
